as_path,no_of_hops,relationships,validity,rov_of_each_asn,rov_path
"15625,1273,3356,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
"15625,1273,1299,8075",2,"['c-p', 'c-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
"15625,1273,1299,3356,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,1273,1299,174,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,1273,1299,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,1273,1299,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,1273,1299,6453,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,1273,1299,6453,4755,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 0.0, 100.0]",0
"15625,1273,1299,7018,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,1273,1299,4826,8075",3,"['c-p', 'c-p', 'p-c', 'p-c']",True,"[0.0, 0.0, 100.0, 92.85714, 100.0]",0
"15625,1273,174,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
"15625,1273,3257,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
"15625,1273,3491,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
"15625,1273,6453,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
"15625,1273,6453,4755,8075",3,"['c-p', 'p-p', 'p-c', 'p-c']",True,"[0.0, 0.0, 100.0, 0.0, 100.0]",0
"15625,1273,12956,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
"15625,702,174,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0]",100
"15625,702,1299,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0]",100
"15625,702,1299,4826,8075",3,"['c-p', 'p-p', 'p-c', 'p-c']",True,"[0.0, 100.0, 100.0, 92.85714, 100.0]",98
"15625,702,3356,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0]",100
"15625,702,3257,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0]",100
"15625,702,701,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,702,701,3356,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,702,701,7018,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,702,3491,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0]",100
"15625,702,6453,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0]",100
"15625,702,6453,4755,8075",3,"['c-p', 'p-p', 'p-c', 'p-c']",True,"[0.0, 100.0, 100.0, 0.0, 100.0]",0
"15625,702,12956,8075",2,"['c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0]",100
"15625,19905,22822,1299,8075",3,"['c-p', 'c-p', 'c-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0]",NA
"15625,19905,22822,1299,3356,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,1299,174,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,1299,3257,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,1299,3491,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,1299,6453,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,1299,7018,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,1299,4826,8075",4,"['c-p', 'c-p', 'c-p', 'p-c', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 92.85714, 100.0]",NA
"15625,19905,22822,6762,174,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 0.0, 100.0, 100.0]",NA
"15625,19905,22822,6762,3356,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 0.0, 100.0, 100.0]",NA
"15625,19905,22822,701,3491,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,701,3356,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,701,7018,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,3491,8075",3,"['c-p', 'c-p', 'c-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0]",NA
"15625,19905,22822,3491,1299,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,3491,3356,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,3491,6453,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,3356,8075",3,"['c-p', 'c-p', 'c-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0]",NA
"15625,19905,22822,3356,1299,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,3356,6453,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,3356,174,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,3356,3491,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,22822,3356,3257,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, NA, 100.0, 100.0, 100.0]",NA
"15625,19905,2914,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,19905,2914,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,19905,2914,3356,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,19905,2914,12956,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,19905,2914,7018,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,19905,6453,8075",2,"['c-p', 'c-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0]",100
"15625,19905,6453,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,19905,6453,4755,8075",3,"['c-p', 'c-p', 'p-c', 'p-c']",True,"[0.0, 100.0, 100.0, 0.0, 100.0]",0
"15625,19905,6453,3356,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,19905,6453,1299,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,19905,6453,1299,4826,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 92.85714, 100.0]",98.4
"15625,19905,6453,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100
"15625,198949,2914,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,2914,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,2914,3356,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,2914,12956,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,2914,7018,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,1299,8075",2,"['c-p', 'c-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
"15625,198949,1299,3356,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,1299,174,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,1299,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,1299,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,1299,6453,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,1299,6453,4755,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 0.0, 100.0]",0
"15625,198949,1299,7018,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
"15625,198949,1299,4826,8075",3,"['c-p', 'c-p', 'p-c', 'p-c']",True,"[0.0, 0.0, 100.0, 92.85714, 100.0]",0
"15625,198949,3356,8075",2,"['c-p', 'c-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
